Country,State,County,Date,Type
United States,Tennessee,Franklin,3/25/2020,Stay at home
United States,Tennessee,Davidson,3/23/2020,Stay at home
United States,Tennessee,Knox,3/24/2020,Stay at home
United States,Tennessee,Shelby,3/24/2020,Shelter in place
United States,Texas,,4/2/2020,Stay at home
United States,Texas,Amarillo,3/31/2020,Stay at home
United States,Texas,Lubbock,3/30/2020,Stay at home
United States,Texas,Bell,3/24/2020,Shelter in place
United States,Texas,Bexar,3/25/2020,Stay at home
United States,Texas,Brazoria,3/26/2020,Stay at home
United States,Texas,Cameron,3/25/2020,Shelter in place
United States,Texas,Chambers,3/25/2020,Shelter in place
United States,Texas,Collin,3/24/2020,Stay at home
United States,Texas,Dallas,3/24/2020,Shelter in place
United States,Texas,Denton,3/26/2020,Stay at home
United States,Texas,El Paso,3/25/2020,Stay at home
United States,Texas,Ellis,3/26/2020,Stay at home
United States,Texas,Fort Bend,3/25/2020,Stay at home
United States,Texas,Galveston,3/25/2020,Stay at home
United States,Texas,Gregg,3/27/2020,Shelter in place
United States,Texas,Harris,3/25/2020,Stay at home
United States,Texas,Harrison,4/1/2020,Stay at home
United States,Texas,Hays,3/26/2020,Stay at home
United States,Texas,Hildalgo,3/27/2020,Shelter in place
United States,Texas,Hunt,3/25/2020,Shelter in place
United States,Texas,Kaufman,3/26/2020,Shelter in place
United States,Texas,Liberty,3/25/2020,Stay at home
United States,Texas,McLennan,3/24/2020,Shelter in place
United States,Texas,Nacogdoches,3/30/2020,Stay at home
United States,Texas,Nueces,3/27/2020,Stay at home
United States,Texas,Polk,3/28/2020,Stay at home
United States,Texas,Robertson,3/25/2020,Shelter in place
United States,Texas,Rockwall,3/25/2020,Stay at home
United States,Texas,San Jacinto,3/25/2020,Stay at home
United States,Texas,Scurry,3/28/2020,Shelter in place
United States,Texas,Smith,3/28/2020,Stay at home
United States,Texas,Starr,3/25/2020,Stay at home
United States,Texas,Tarrant,3/25/2020,Stay at home
United States,Texas,Travis,3/25/2020,Stay at home
United States,Texas,Wichita,3/28/2020,Shelter in place
United States,Texas,Willacy,3/26/2020,Shelter in place
United States,Texas,Williamson,3/25/2020,Stay at home
United States,Utah,Davis,4/2/2020,Stay at home
United States,Utah,Salt Lake,3/30/2020,Stay at home
United States,Utah,Summit,3/27/2020,Stay at home
United States,Vermont,,3/25/2020,Stay at home
United States,Virginia,,3/30/2020,Stay at home
United States,Washington,,3/23/2020,Stay at home
United States,West Virginia,,3/24/2020,Stay at home
United States,Wisconsin,,3/25/2020,Stay at home
United States,Wyoming,Jackson,3/28/2020,Stay at home
